,"Fit time, s","Score time, s",Regressor,R2 on test,MAE on test
0,36.87765717506409,0.07443428039550781,MyAdaBoostRegressor,0.982307779385207,1.6107639286214277
1,36.40247869491577,0.07803678512573242,MyAdaBoostRegressor,0.9828422161214576,1.559078171858037
2,36.68313550949097,0.10091447830200195,MyAdaBoostRegressor,0.9822512869477968,1.6007652415357367
3,36.250059604644775,0.08724236488342285,MyAdaBoostRegressor,0.9820329173671483,1.5986858563441413
4,10.59592866897583,0.012902021408081055,MyAdaBoostRegressor,0.982810314265996,1.5701034266972527
0,90.48737072944641,0.027698278427124023,AdaBoostRegressor,0.9825112887214648,1.6130682143311807
1,90.13163590431213,0.04664969444274902,AdaBoostRegressor,0.9842087052056825,1.5630856407604066
2,90.39547801017761,0.043447256088256836,AdaBoostRegressor,0.9827146583385686,1.5807529132386702
3,89.33441090583801,0.03869175910949707,AdaBoostRegressor,0.9796384419312452,1.7754679790470604
4,28.287801265716553,0.013918638229370117,AdaBoostRegressor,0.9829564981023324,1.6288611740699233
0,255.86909246444702,0.028380155563354492,GradientBoostingRegressor,0.9755690124523824,1.8556578840781748
1,256.6995062828064,0.02469944953918457,GradientBoostingRegressor,0.9772027814454147,1.8039172166599164
2,257.0064284801483,0.0078012943267822266,GradientBoostingRegressor,0.9764421748964366,1.8370432254802849
3,256.8155641555786,0.02850174903869629,GradientBoostingRegressor,0.9767467727191553,1.8298346090951498
4,78.52991247177124,0.007676124572753906,GradientBoostingRegressor,0.9780217070559283,1.760829125450135
0,710.0361738204956,0.6250112056732178,HistGradientBoostingRegressor,0.9986552093103148,0.3925050822637418
1,682.6537346839905,1.3066797256469727,HistGradientBoostingRegressor,0.998733966140521,0.3913793074761277
2,701.4233641624451,1.5362329483032227,HistGradientBoostingRegressor,0.9987483209380235,0.3847172717340303
3,709.4075906276703,1.0806429386138916,HistGradientBoostingRegressor,0.9987827734273172,0.377987864348957
4,221.93035626411438,0.31305742263793945,HistGradientBoostingRegressor,0.9986741505446448,0.38718782969720666
0,235.03828811645508,0.06969475746154785,XGBRegressor,0.995904098000766,0.7534002492813022
1,234.74314785003662,0.06694793701171875,XGBRegressor,0.9960510885629787,0.738723931624741
2,235.52369904518127,0.041086435317993164,XGBRegressor,0.9958870332257393,0.7552220823600274
3,233.3015627861023,0.05262589454650879,XGBRegressor,0.9960099017396988,0.7379804627096299
4,57.99705743789673,0.008523702621459961,XGBRegressor,0.9960820162069856,0.7337073744709735
0,45.30094623565674,0.03837895393371582,LGBMRegressor,0.9962620070090027,0.7216433563672313
1,48.00852680206299,0.06322693824768066,LGBMRegressor,0.9962494916952223,0.7296187789819389
2,48.89601731300354,0.06617045402526855,LGBMRegressor,0.9962364653088763,0.7298466296218167
3,49.170865297317505,0.056123971939086914,LGBMRegressor,0.9964334575586242,0.7098340083186181
4,13.102655172348022,0.008548498153686523,LGBMRegressor,0.9964653550495433,0.7059107021503866
0,7.409730434417725,0.06065845489501953,CatBoostRegressor,0.9919670365412092,1.0583655381143595
1,7.507347345352173,0.02086663246154785,CatBoostRegressor,0.9923954106523809,1.0179635111725374
2,7.080551624298096,0.05916094779968262,CatBoostRegressor,0.9917172678709596,1.0601901530424562
3,8.086153507232666,0.09072160720825195,CatBoostRegressor,0.9919708150715797,1.0490308236554695
4,4.443805932998657,0.02184891700744629,CatBoostRegressor,0.9926677875632416,0.9893608615279953
